"","PC1","PC2","PC3","PC4"
"774_1973",0.0498965903135306,0.0167238234194756,0.0255559583005858,-0.00522507232524922
"774_1974",0.0377772481115016,0.0241610248757991,-0.057388623604132,0.0749957824629421
"774_1975",0.0460748296186745,0.0210254011441499,-0.0180988898320198,-0.0412376357674681
"774_1976",0.0241456463388785,0.0150789638135572,-0.118689746534568,0.021577679715534
"774_1977",0.0103470672528442,-0.0255746007184023,-0.118609576894419,0.0764429439026467
"774_1978",0.0112539094913066,-0.00144933251410286,-0.145482362340515,0.0572579347475222
"774_1979",0.0327204172113352,0.00329911294718146,-0.0770537607832214,0.0398963235010036
"779_1970",0.0448771010255441,0.123758208103629,0.0712323516119815,0.062987228834981
"779_1971",0.0108792886108117,0.00058824120857934,-0.0171085693115265,-0.138501725505872
"779_1972",0.00203475893836233,-0.0042385526213865,0.0681800362556567,-0.373534767811576
"779_1973",0.0477035128799008,0.144885110524608,0.0183436650324081,0.0696520748220367
"779_1974",0.0217096642339614,0.0249396447822616,0.0810452899310004,0.0898244963666396
"779_1975",0.0526371858441193,0.119180857036327,0.0333977428783335,0.0252085752179681
"779_1976",0.0381349882193624,0.132408334696918,0.12020153738756,0.0173879228245231
"779_1977",0.0528082145544128,0.108257153116004,0.0859273022580267,0.0255377670807715
"779_1978",0.0476532534370421,0.0935812579987321,0.0595478940134527,-0.00615334599386457
"779_1979",0.0470640845805255,0.0850026248176195,0.108266511512785,0.0764136812445826
"783_1970",0.0353438772954272,0.0748576499310693,-0.0966828300783088,0.0428850223548379
"783_1971",0.0376813478710818,0.0877167657730319,-0.0906007032403648,0.0899018568857881
"783_1972",0.0243371119487328,0.0925851951748283,-0.125471224092106,0.0843838510558427
"783_1973",0.0203797779331647,0.0510090514924261,-0.140803282624988,0.093976397838853
"783_1974",0.0322276673257385,0.0654831115133868,-0.0877018725908907,0.0977049728868853
"783_1975",0.0272957999715113,0.0820175424140673,-0.118037927115835,0.0411493733685123
"783_1976",0.0172012912219696,0.0693773634075222,-0.149846895549095,0.0802830248555908
